City_ID,City,Country,Lat,Lng,Date,Max Temp,Humidity,Cloudiness,Wind Speed
88,zhuanghe,CN,39.7,122.99,1602861203,50.63,44,0,3.04
89,esperance,AU,-33.87,121.9,1602861006,53.37,73,0,8.16
90,bafoulabe,ML,13.81,-10.83,1602861203,101.08,25,30,1.32
91,nanortalik,GL,60.14,-45.24,1602861203,42.78,77,57,12.1
92,longyearbyen,SJ,78.22,15.64,1602861203,24.8,68,40,11.41
93,punta arenas,CL,-53.15,-70.92,1602861203,42.8,87,75,6.93
94,mopti,ML,14.67,-4,1602861204,100.35,20,98,5.28
95,north bend,US,43.41,-124.22,1602861204,53.01,93,1,3.36
96,hofn,IS,64.25,-15.21,1602861204,48.2,61,30,10.29
97,dunedin,NZ,-45.87,170.5,1602861204,44.01,83,76,1.01
98,saint-philippe,RE,-21.36,55.77,1602861204,75.2,78,50,10.29
99,qaanaaq,GL,77.48,-69.36,1602860996,23.99,82,6,7.34
100,butaritari,KI,3.07,172.79,1602861204,81.79,74,0,13.69
101,atuona,PF,-9.8,-139.03,1602861005,78.1,79,1,19.37
102,nikolskoye,RU,59.7,30.79,1602861205,41,65,75,6.71
103,tarakan,ID,3.3,117.63,1602861205,80.94,76,100,4.43
104,mumbwa,ZM,-14.98,27.06,1602860969,85.08,25,0,8.43
105,gao,ML,16.64,1.64,1602861205,103.23,9,1,6.78
106,guerrero negro,MX,27.98,-114.06,1602861205,74.64,60,0,9.95
107,saint george,US,37.1,-113.58,1602861205,57.2,19,1,5.82
108,laguna,US,38.42,-121.42,1602861205,62.01,58,1,3.36
109,bengkulu,ID,-3.8,102.27,1602861205,78.01,85,100,3.85
110,san patricio,US,28.02,-97.52,1602861206,66.2,77,90,17.22
111,hilo,US,19.73,-155.09,1602861005,73.4,73,20,5.82
112,hays,US,30.05,-98.03,1602861206,64.99,53,90,17.13
113,cherskiy,RU,68.75,161.3,1602860972,26.62,95,55,4.05
114,upernavik,GL,72.79,-56.15,1602860963,37.35,74,100,9.48
115,thompson,CA,55.74,-97.86,1602861206,26.6,86,90,12.75
116,arraial do cabo,BR,-22.97,-42.03,1602861207,75.2,69,75,11.41
117,staryy nadym,RU,65.61,72.68,1602861207,32.34,98,100,13.69
118,tiksi,RU,71.69,128.87,1602861207,21.99,98,99,6.8
119,svetlogorsk,BY,52.63,29.73,1602861207,48.51,82,39,5.21
120,san cristobal,VE,7.77,-72.22,1602861063,89.6,46,20,20.8
121,airai,TL,-8.93,125.41,1602861207,60.93,90,92,1.5
122,samarai,PG,-10.62,150.67,1602861207,78.13,85,40,12.28
123,kruisfontein,ZA,-34,24.73,1602861207,71.01,72,34,8.99
124,povenets,RU,62.85,34.83,1602861208,37.83,79,91,12.75
125,ovsyanka,RU,55.96,92.55,1602861208,23,100,80,5.06
126,avarua,CK,-21.21,-159.78,1602861005,69.8,77,100,3.36
127,san carlos de bariloche,AR,-41.15,-71.31,1602860914,60.8,38,0,4.7
128,aberdeen,GB,57.14,-2.1,1602860992,50,76,90,6.93
129,tonaya,MX,19.78,-103.97,1602861208,75.2,78,20,1.77
130,yumen,CN,40.28,97.2,1602861208,42.93,45,0,10.54
131,abnub,EG,27.27,31.15,1602861209,89.6,31,0,16.11
132,saskylakh,RU,71.92,114.08,1602861209,8.78,95,82,2.53
133,necochea,AR,-38.55,-58.74,1602861209,69.3,69,0,12.82
134,grindavik,IS,63.84,-22.43,1602861209,48.2,81,75,6.93
135,kloulklubed,PW,7.04,134.26,1602861209,77,94,75,5.01
136,castro,BR,-24.79,-50.01,1602861209,70.68,55,0,7.94
137,carnarvon,AU,-24.87,113.63,1602861209,69.8,83,40,25.28
138,makarov,RU,48.63,142.8,1602861210,38.91,70,4,10.67
139,yellowknife,CA,62.46,-114.35,1602860999,24.01,85,90,14.99
140,codrington,AU,-38.27,141.97,1602861210,51.42,95,100,1.07
141,galway,IE,53.27,-9.05,1602861210,54,76,75,9.17
142,vaitape,PF,-16.52,-151.75,1602861210,79.14,78,55,7.87
143,severo-kurilsk,RU,50.68,156.12,1602860976,41.9,70,32,22.59
144,kushmurun,KZ,52.45,64.63,1602861211,56.66,40,74,13.8
145,qalyub,EG,30.18,31.21,1602861211,86,40,20,14.99
146,puri,IN,19.8,85.85,1602861211,80.6,94,20,6.17
147,chokurdakh,RU,70.63,147.92,1602860971,32.05,99,100,9.8
148,tazovskiy,RU,67.47,78.7,1602860972,28.76,97,98,9.1
149,rantepao,ID,-2.97,119.9,1602861125,68.59,91,100,1.16
150,mar del plata,AR,-38,-57.56,1602860977,68,72,40,13.87
151,bilecik,TR,40,30.17,1602861211,80.6,19,1,1.12
152,avera,US,33.19,-82.53,1602861212,71.6,83,1,9.17
153,aviles,ES,43.55,-5.92,1602861212,63,63,20,8.05
154,ust-tsilma,RU,65.44,52.15,1602861212,30.43,98,100,3.71
155,yar-sale,RU,66.83,70.83,1602861212,32.11,95,100,15.73
156,lappeenranta,FI,61.06,28.19,1602860961,39.2,71,75,6.93
157,garowe,SO,8.41,48.48,1602860919,88.48,37,20,5.46
158,padang,ID,-0.95,100.35,1602861164,78.75,76,46,3.65
159,auki,SB,-8.77,160.7,1602861005,77.29,82,4,3.85
160,ancud,CL,-41.87,-73.82,1602861213,60.01,76,82,5.82
161,katherine,AU,-14.47,132.27,1602861006,78.8,83,98,6.93
162,amuntai,ID,-2.42,115.25,1602861213,76.26,94,98,1.81
163,meadow lake,US,34.8,-106.54,1602861213,50,39,1,16.11
164,flin flon,CA,54.77,-101.86,1602861214,24.8,62,90,12.75
165,sioux lookout,CA,50.1,-91.92,1602860999,28.4,58,40,6.93
166,bambous virieux,MU,-20.34,57.76,1602861214,75.99,73,40,5.82
167,atasu,KZ,48.68,71.64,1602861214,51.73,42,0,2.57
168,pevek,RU,69.7,170.31,1602861214,37.18,81,52,12.28
169,ulladulla,AU,-35.35,150.47,1602861214,57.2,87,90,4.7
170,kano,NG,12,8.52,1602861128,91.4,49,20,8.05
171,conakry,GN,9.54,-13.68,1602861215,82.4,74,40,6.93
172,diamantino,BR,-14.41,-56.45,1602861215,95.18,35,99,6.46
173,zharkent,KZ,44.16,80,1602861215,53.26,40,0,3.2
174,hovd,MN,48.01,91.64,1602861216,36.72,65,60,0.6
175,srednekolymsk,RU,67.45,153.68,1602861216,29.73,99,100,4.88
176,farah,AF,32.5,62.5,1602861216,50.47,39,0,3.62
177,paamiut,GL,61.99,-49.67,1602860963,42.19,79,100,32.55
178,sinnamary,GF,5.38,-52.95,1602861216,87.69,53,18,10.98
